Genes	logFC	PValue	FDR
276_4	-10.5118248113164	1.59735178075536e-61	3.34565330479211e-57
62_157	-9.31752209524752	6.98255718594428e-54	7.31248301298015e-50
144_7	12.2032905294419	2.42389566575029e-53	1.69228315730466e-49
198_6	-10.0225188313623	3.31004074877833e-53	1.73322008707905e-49
829_3	11.8677875536618	2.98190140993806e-51	1.24911850062305e-47
44_124	-8.90683173438527	2.98155513763572e-50	1.040811205963e-46
25_31	-8.9974264212951	6.54531964042249e-50	1.9584531409807e-46
12_195	-8.94334288094754	7.51340973725485e-50	1.96710458683504e-46
127_41	7.94910167844539	1.45375430382232e-49	3.38320932150649e-46
31_39	7.71666588335611	1.41591603565281e-47	2.96563613667482e-44
146_68	11.0250679793183	5.4339191717807e-47	1.03466760957224e-43
85_19	-7.73593726936815	6.21524208176621e-47	1.08481871168828e-43
1078_1	7.74904101550246	6.8282877585699e-47	1.10014220848651e-43
836_2	9.11352397806454	1.19183449645025e-42	1.78306953772503e-39
57_45	-6.5017182924489	1.35533557158109e-42	1.89250023645106e-39
170_33	-6.90306716018572	1.51888653565138e-42	1.98831740557613e-39
5_110	12.5688714512593	2.34395768933581e-42	2.8878937531258e-39
1092_3	11.7931376809458	2.34494473832305e-41	2.72860375245423e-38
81_91	6.94895590634058	3.39873236685651e-41	3.74665523283208e-38
468_3	-9.32224333954286	1.15607832028268e-40	1.21070302091603e-37
18_15	-6.62610773506645	6.37977831086038e-38	6.36306936766527e-35
7_50	-8.4124925559974	1.02735383962206e-37	9.78087553221999e-35
41_73	6.01356559180339	2.58933515076898e-37	2.35798368403723e-34
20_152	-7.70950972494783	3.16409781989627e-37	2.76133453490531e-34
4_106	6.59652286357781	5.75208511192934e-37	4.8190969067744e-34
6_253	-6.42997662325997	1.66630196966386e-36	1.32414425420965e-33
5_23	-5.7611258796946	1.70694174569876e-36	1.32414425420965e-33
3_256	-6.49499006145553	4.97195725310044e-36	3.71920159522103e-33
31_76	-12.078580424342	7.0410899653953e-35	5.08536652845533e-32
6_124	-6.64776925694578	7.49742167997898e-34	5.23444990290533e-31
26_93	-7.11663724618974	6.11864493625219e-33	4.08340243609505e-30
701_4	-7.0410310140438	6.23866688732593e-33	4.08340243609505e-30
87_92	-5.62665908069717	1.21244943132275e-32	7.69537979971361e-30
46_172	-6.13498504403357	2.27449109257896e-32	1.40115340982548e-29
168_2	-5.79598210632427	4.22501366350053e-32	2.52836889091482e-29
14_197	-5.73446265094773	5.70355238091046e-32	3.30419734709115e-29
42_146	8.29511674130008	5.83696833814145e-32	3.30419734709115e-29
37_77	-5.33167934633973	7.70350532665047e-32	4.24605050175511e-29
49_140	-5.95267403393541	1.44999480267616e-31	7.78721567744929e-29
70_51	-6.3125093149266	1.86626330966141e-31	9.77222125521455e-29
44_68	-6.80066874083	1.52740067120819e-30	7.80278220937941e-28
4_64	5.80129826281154	1.14150536646837e-29	5.69257854778097e-27
3_503	-5.30712103809431	2.31559765007529e-29	1.12791146001923e-26
