Genes	logFC	logCPM	PValue	FDR
276_4	-10.5118248113164	6.81519119772281	1.59735178075536e-61	3.34565330479211e-57
62_157	-9.31752209524752	5.99207706660257	6.98255718594428e-54	7.31248301298015e-50
144_7	12.2032905294419	7.11942363267859	2.42389566575029e-53	1.69228315730466e-49
198_6	-10.0225188313623	5.54939861420692	3.31004074877833e-53	1.73322008707905e-49
829_3	11.8677875536618	5.42173455143692	2.98190140993806e-51	1.24911850062305e-47
44_124	-8.90683173438527	10.1159524557657	2.98155513763572e-50	1.040811205963e-46
25_31	-8.9974264212951	7.24537369620176	6.54531964042249e-50	1.9584531409807e-46
12_195	-8.94334288094754	5.03246598897209	7.51340973725485e-50	1.96710458683504e-46
127_41	7.94910167844539	5.09507546150332	1.45375430382232e-49	3.38320932150649e-46
31_39	7.71666588335611	6.49444603074174	1.41591603565281e-47	2.96563613667482e-44
146_68	11.0250679793183	6.62928926905122	5.4339191717807e-47	1.03466760957224e-43
85_19	-7.73593726936815	6.17302901735345	6.21524208176621e-47	1.08481871168828e-43
1078_1	7.74904101550246	8.90643184712339	6.8282877585699e-47	1.10014220848651e-43
836_2	9.11352397806454	8.53619619501223	1.19183449645025e-42	1.78306953772503e-39
57_45	-6.5017182924489	5.95318022035112	1.35533557158109e-42	1.89250023645106e-39
170_33	-6.90306716018572	5.78373075377836	1.51888653565138e-42	1.98831740557613e-39
5_110	12.5688714512593	3.8910882887541	2.34395768933581e-42	2.8878937531258e-39
1092_3	11.7931376809458	8.83926843542583	2.34494473832305e-41	2.72860375245423e-38
81_91	6.94895590634058	5.84689613990343	3.39873236685651e-41	3.74665523283208e-38
468_3	-9.32224333954286	5.94217020116578	1.15607832028268e-40	1.21070302091603e-37
18_15	-6.62610773506645	5.55283893716976	6.37977831086038e-38	6.36306936766527e-35
7_50	-8.4124925559974	3.95924096251371	1.02735383962206e-37	9.78087553221999e-35
41_73	6.01356559180339	5.60714891526585	2.58933515076898e-37	2.35798368403723e-34
20_152	-7.70950972494783	4.00946624415746	3.16409781989627e-37	2.76133453490531e-34
4_106	6.59652286357781	4.48002018039737	5.75208511192934e-37	4.8190969067744e-34
6_253	-6.42997662325997	7.41460843122155	1.66630196966386e-36	1.32414425420965e-33
5_23	-5.7611258796946	6.03303010313177	1.70694174569876e-36	1.32414425420965e-33
3_256	-6.49499006145553	4.93375503355596	4.97195725310044e-36	3.71920159522103e-33
31_76	-12.078580424342	3.41200886673336	7.0410899653953e-35	5.08536652845533e-32
6_124	-6.64776925694578	6.47353812003009	7.49742167997898e-34	5.23444990290533e-31
26_93	-7.11663724618974	3.91026789750441	6.11864493625219e-33	4.08340243609505e-30
701_4	-7.0410310140438	5.387413659309	6.23866688732593e-33	4.08340243609505e-30
87_92	-5.62665908069717	5.60532008418653	1.21244943132275e-32	7.69537979971361e-30
46_172	-6.13498504403357	4.62525067686714	2.27449109257896e-32	1.40115340982548e-29
168_2	-5.79598210632427	5.53421550593665	4.22501366350053e-32	2.52836889091482e-29
14_197	-5.73446265094773	5.45078921349788	5.70355238091046e-32	3.30419734709115e-29
42_146	8.29511674130008	4.55592459427812	5.83696833814145e-32	3.30419734709115e-29
37_77	-5.33167934633973	5.62521197868645	7.70350532665047e-32	4.24605050175511e-29
49_140	-5.95267403393541	7.81629207696426	1.44999480267616e-31	7.78721567744929e-29
70_51	-6.3125093149266	6.74789243125811	1.86626330966141e-31	9.77222125521455e-29
44_68	-6.80066874083	5.96376641717596	1.52740067120819e-30	7.80278220937941e-28
4_64	5.80129826281154	4.1366842328397	1.14150536646837e-29	5.69257854778097e-27
3_503	-5.30712103809431	5.56529142059425	2.31559765007529e-29	1.12791146001923e-26
62_160	-5.12615304530805	5.82113153938289	2.67694326765492e-29	1.27428583502346e-26
37_34	-4.80064464945627	5.96318284802077	3.05008265938378e-29	1.41964402890652e-26
67_8	-4.86912495231174	5.61782343929763	3.94649502550065e-29	1.7858695537689e-26
209_19	5.09769193799676	6.43612778501238	4.00744182511999e-29	1.7858695537689e-26
8_30	-4.78270574662129	5.73340552163819	4.65263041268138e-29	2.03019466653357e-26
531_2	6.97366090669231	3.41026244617875	1.25973352800443e-28	5.38471811103116e-26
111_7	-7.72942429861067	3.58463218064289	1.80199840815538e-28	7.5485713317629e-26
51_24	-5.58479501947159	4.14389106854384	3.77720805633507e-28	1.55124750470467e-25
60_31	-5.39779834841869	6.91288124740928	3.94774618323084e-28	1.59010661168789e-25
12_164	4.97388467341607	4.98415642787011	8.93329844073769e-28	3.53033841209907e-25
41_52	6.80449160904906	6.07962516835496	2.13422415844004e-27	8.2780231478753e-25
3_306	-6.30888038486008	10.3094956615812	3.5459575573262e-27	1.35036510978541e-24
49_137	-5.64122379287113	8.29475397459347	3.71489916786971e-27	1.38943862626841e-24
157_21	-5.91339708991831	5.20479596514295	4.25395688398642e-27	1.56314257780869e-24
3_104	-5.76444253998307	3.83520788152856	5.18426635571381e-27	1.87214584173148e-24
18_16	-7.68487164607971	3.2311320947024	5.48616496349374e-27	1.94758856204028e-24
23_103	5.78247897567544	4.23786704205692	6.54199189328005e-27	2.28370033674584e-24
5_170	5.59773237737274	6.69875980756803	3.06336430898647e-26	1.05183877789708e-23
58_37	-4.82808176428579	5.09700686274312	7.40858585965127e-26	2.50278759403864e-23
38966	-4.36156701635125	5.43078748586363	1.05839300778333e-25	3.4855325566478e-23
6_381	-5.17264859814661	6.75709759321061	1.06504694975154e-25	3.4855325566478e-23
