City,Product Type,Trip or Order Status,Request Time,Begin Trip Time,Dropoff Time,Distance (miles),Fare Amount,Fare Currency
Merida,UberX,COMPLETED,2019-09-15 00:45:08 +0000 UTC,2019-09-15 00:52:08 +0000 UTC,2019-09-15 01:00:35 +0000 UTC,1.82,63.23,MXN
Merida,UberX,COMPLETED,2019-09-14 19:02:06 +0000 UTC,2019-09-14 19:06:36 +0000 UTC,2019-09-14 19:10:24 +0000 UTC,0.94,22.84,MXN
Merida,UberX,COMPLETED,2019-09-14 04:09:58 +0000 UTC,2019-09-14 04:15:48 +0000 UTC,2019-09-14 04:23:46 +0000 UTC,2.49,37.67,MXN
Merida,UberX,COMPLETED,2019-09-07 04:27:39 +0000 UTC,2019-09-07 04:30:06 +0000 UTC,2019-09-07 04:34:55 +0000 UTC,1.41,26.71,MXN
Merida,UberX,COMPLETED,2019-09-02 14:04:26 +0000 UTC,2019-09-02 14:06:49 +0000 UTC,2019-09-02 14:12:28 +0000 UTC,1.12,25.38,MXN
Merida,UberX,COMPLETED,2019-08-30 19:01:33 +0000 UTC,2019-08-30 19:07:15 +0000 UTC,2019-08-30 19:21:54 +0000 UTC,1.4,36.28,MXN
Merida,UberX,COMPLETED,2019-08-06 02:31:16 +0000 UTC,2019-08-06 02:34:49 +0000 UTC,2019-08-06 02:48:46 +0000 UTC,3.74,52.87,MXN
Merida,UberX,COMPLETED,2019-07-21 18:36:19 +0000 UTC,2019-07-21 18:40:11 +0000 UTC,2019-07-21 18:55:17 +0000 UTC,3.34,62.3,MXN
Merida,UberX,COMPLETED,2019-07-07 13:54:41 +0000 UTC,2019-07-07 14:01:06 +0000 UTC,2019-07-07 14:14:24 +0000 UTC,5.95,56.14,MXN
Merida,UberX,COMPLETED,2019-06-29 03:20:57 +0000 UTC,2019-06-29 03:26:41 +0000 UTC,2019-06-29 03:44:50 +0000 UTC,4,58.13,MXN
Merida,UberX,COMPLETED,2019-06-13 22:36:08 +0000 UTC,2019-06-13 22:40:18 +0000 UTC,2019-06-13 22:50:49 +0000 UTC,2.07,54.25,MXN
Merida,UberX,CANCELED,2019-06-09 11:49:07 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,0,0,MXN
Merida,UberX,COMPLETED,2019-06-05 14:11:01 +0000 UTC,2019-06-05 14:14:08 +0000 UTC,2019-06-05 14:21:02 +0000 UTC,1.13,25.38,MXN
Merida,UberX,COMPLETED,2019-05-30 02:23:00 +0000 UTC,2019-05-30 02:27:34 +0000 UTC,2019-05-30 02:39:13 +0000 UTC,3.02,48.29,MXN
Merida,UberX,COMPLETED,2019-05-17 14:10:38 +0000 UTC,2019-05-17 14:12:47 +0000 UTC,2019-05-17 14:19:24 +0000 UTC,1.26,22.61,MXN
Merida,UberX,COMPLETED,2019-05-07 14:03:52 +0000 UTC,2019-05-07 14:06:58 +0000 UTC,2019-05-07 14:13:11 +0000 UTC,1.26,30.92,MXN
Merida,UberX,COMPLETED,2019-05-03 14:19:48 +0000 UTC,2019-05-03 14:22:23 +0000 UTC,2019-05-03 14:28:37 +0000 UTC,1.26,25.38,MXN
